,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,weeks
0,4978,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,11
1,2947,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.39299999999999996,91.97200000000001,225147,12
2,12764,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,28
3,11468,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.8009999999999999,128.001,211920,12
4,9376,0.718,0.82,5,-3.4530000000000003,0,0.0323,0.0444,0.0,0.0846,0.613,92.99799999999999,219467,26
5,10737,0.693,0.8220000000000001,4,-5.441,0,0.0439,0.0061600000000000005,1.79e-06,0.315,0.763,126.035,223800,12
6,8751,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,227987,10
7,12765,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.11699999999999999,0.322,121.04,210173,25
8,11649,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.93799999999999,277040,43
9,5355,0.622,0.469,3,-6.797999999999999,0,0.0363,0.00454,2.25e-06,0.0398,0.679,77.01899999999999,217973,9
10,10014,0.6579999999999999,0.677,5,-6.627999999999999,1,0.0393,0.248,0.0,0.368,0.248,124.91,251627,20
11,12160,0.612,0.84,11,-3.145,0,0.0509,0.11199999999999999,0.0,0.11599999999999999,0.43799999999999994,129.042,212862,13
12,12767,0.7809999999999999,0.526,6,-6.986000000000001,0,0.293,0.0633,0.0,0.0457,0.665,94.993,235613,11
13,8360,0.674,0.628,2,-7.079,1,0.03,0.00144,0.0,0.0944,0.552,103.99799999999999,247907,8
14,1536,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400,3
15,8730,0.48200000000000004,0.706,9,-5.7620000000000005,1,0.0607,0.135,0.00106,0.105,0.14400000000000002,92.51299999999999,224920,15
16,4461,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.40700000000000003,84.99600000000001,258373,23
17,12770,0.727,0.937,11,-2.8710000000000004,0,0.28600000000000003,0.00417,0.0,0.091,0.7490000000000001,132.067,219493,15
18,12713,0.6559999999999999,0.884,2,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,237987,28
19,12771,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,18
20,12264,0.5770000000000001,0.447,8,-5.892,1,0.27699999999999997,0.00627,0.00022,0.0899,0.18899999999999997,74.236,247800,18
21,1539,0.66,0.539,9,-5.947,0,0.324,0.0534,0.0,0.222,0.307,109.318,293613,15
22,11870,0.625,0.5760000000000001,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147,20
23,12772,0.584,0.7120000000000001,11,-4.311,0,0.0395,0.0112,1.05e-06,0.114,0.28600000000000003,126.04299999999999,256560,38
24,4444,0.336,0.627,7,-7.462999999999999,1,0.0384,0.16399999999999998,0.0,0.0708,0.35,150.273,241107,3
25,7652,0.648,0.836,8,-3.3939999999999997,1,0.0316,0.0625,0.00995,0.20199999999999999,0.705,126.889,183560,9
26,5355,0.628,0.6759999999999999,7,-5.9110000000000005,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147,19
27,8751,0.5710000000000001,0.873,0,-3.3819999999999997,0,0.1,0.0811,0.0,0.361,0.613,139.691,229467,26
28,8496,0.602,0.691,7,-5.197,0,0.051,0.0548,0.0,0.14400000000000002,0.20600000000000002,127.96700000000001,222307,25
29,9723,0.722,0.958,4,-3.617,1,0.0912,0.007259999999999999,0.0,0.375,0.9520000000000001,127.008,206120,9
30,12774,0.457,0.757,1,-5.1770000000000005,1,0.032,0.0206,0.0,0.146,0.41700000000000004,102.961,266600,30
31,4463,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.96700000000001,233787,7
32,12288,0.573,0.929,8,-3.9419999999999997,0,0.109,0.19699999999999998,0.00011200000000000001,0.0567,0.5820000000000001,127.934,212560,6
33,11843,0.48,0.7559999999999999,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,276720,19
34,7123,0.871,0.743,2,-5.442,1,0.27699999999999997,0.00212,0.0,0.141,0.5760000000000001,130.977,278827,14
35,12337,0.721,0.33899999999999997,0,-11.195,1,0.0532,0.409,0.0015300000000000001,0.0973,0.2,129.83,200747,23
36,12302,0.42100000000000004,0.47600000000000003,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.78400000000002,228840,34
37,11484,0.42100000000000004,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.12300000000000001,0.629,84.786,202533,12
38,8012,0.8440000000000001,0.5920000000000001,5,-5.486000000000001,1,0.19899999999999998,0.085,0.0,0.0817,0.8190000000000001,128.033,221000,15
39,12777,0.426,0.405,10,-4.91,1,0.0344,0.863,0.0,0.0851,0.26899999999999996,129.304,219040,1
40,11860,0.64,0.669,7,-5.17,1,0.0519,0.413,0.0,0.0779,0.6459999999999999,155.844,194680,7
41,11138,0.9359999999999999,0.7020000000000001,10,-5.305,1,0.0615,0.0473,0.0,0.0838,0.7040000000000001,97.524,207040,5
42,12336,0.6829999999999999,0.789,8,-6.132000000000001,0,0.0353,0.0283,0.0492,0.11199999999999999,0.809,120.01299999999999,211800,52
43,8360,0.597,0.919,7,-2.9539999999999997,1,0.0439,0.000145,0.0,0.282,0.7290000000000001,113.991,255587,24
44,12778,0.7829999999999999,0.58,7,-6.547999999999999,1,0.0408,0.0114,2.28e-06,0.10800000000000001,0.66,120.021,193400,43
45,12779,0.7090000000000001,0.22,7,-11.856,1,0.0327,0.8109999999999999,0.0,0.175,0.53,110.07600000000001,219040,5
46,12336,0.7020000000000001,0.7809999999999999,0,-4.081,1,0.03,0.433,0.0,0.135,0.382,102.99700000000001,286322,10
47,12780,0.8640000000000001,0.495,0,-7.0360000000000005,1,0.037000000000000005,0.591,0.000133,0.0992,0.72,129.062,244973,50
48,9091,0.6920000000000001,0.9079999999999999,9,-5.364,1,0.0677,0.0251,0.0,0.0933,0.513,124.042,250387,8
49,11096,0.41100000000000003,0.5579999999999999,3,-7.393,1,0.038,0.162,3.79e-06,0.0879,0.379,81.274,324267,10
50,12782,0.745,0.805,2,-5.5489999999999995,1,0.0307,0.0223,1.06e-06,0.13,0.765,126.065,218147,13
51,10738,0.467,0.815,7,-7.928999999999999,0,0.0524,0.0198,1.23e-06,0.11800000000000001,0.335,140.047,185080,16
52,11503,0.5770000000000001,0.7609999999999999,9,-5.34,1,0.0358,0.0377,0.0,0.11599999999999999,0.599,104.991,234027,14
53,8449,0.525,0.693,0,-6.972,1,0.0327,0.046,9.55e-06,0.247,0.363,107.012,225640,11
54,12713,0.44799999999999995,0.784,9,-3.6860000000000004,1,0.0627,0.106,0.00010800000000000001,0.6679999999999999,0.23600000000000002,136.245,186813,16
55,1306,0.46399999999999997,0.889,5,-5.042,1,0.0497,0.0389,0.0272,0.31,0.539,87.85799999999999,232720,17
56,11110,0.6779999999999999,0.8390000000000001,7,-3.617,1,0.0394,0.0379,0.0,0.0742,0.772,104.95200000000001,185907,11
57,9376,0.657,0.679,2,-5.511,1,0.0269,0.00246,0.0,0.21100000000000002,0.331,120.007,225307,2
58,10774,0.5710000000000001,0.937,5,-3.467,0,0.0365,0.0064,0.0,0.316,0.584,115.01299999999999,203133,17
59,10051,0.511,0.7979999999999999,7,-4.314,1,0.0498,0.22699999999999998,6.51e-06,0.184,0.607,183.303,193187,6
60,899,0.6579999999999999,0.591,9,-5.197,1,0.0309,0.009590000000000001,5.27e-06,0.325,0.326,114.07799999999999,323747,7
61,11138,0.753,0.59,1,-2.623,1,0.0485,0.0591,0.0,0.15,0.161,140.002,306600,19
62,770,0.726,0.775,2,-4.1739999999999995,1,0.26899999999999996,0.217,0.0,0.212,0.777,127.943,289600,4
63,5776,0.772,0.885,1,-4.736000000000001,1,0.0847,0.193,9.48e-06,0.0953,0.512,94.98,205360,9
64,8853,0.502,0.41700000000000004,10,-7.665,1,0.0718,0.127,0.00419,0.106,0.218,180.301,281040,17
65,10020,0.7390000000000001,0.696,3,-5.149,0,0.0247,0.0459,9.609999999999999e-05,0.107,0.49200000000000005,97.00399999999999,223573,6
66,12783,0.6579999999999999,0.728,5,-4.916,1,0.0237,0.0183,6.26e-06,0.306,0.682,101.969,191293,13
67,8496,0.32799999999999996,0.498,4,-10.898,0,0.126,0.532,7.94e-05,0.11699999999999999,0.36,175.918,240173,7
68,8015,0.431,0.8759999999999999,4,-6.109,1,0.0658,0.0771,1.8100000000000003e-05,0.0998,0.519,160.0,316987,11
69,12784,0.475,0.597,0,-6.2989999999999995,1,0.0305,0.0114,0.0,0.19899999999999998,0.39799999999999996,142.024,234520,1
70,5739,0.5760000000000001,0.865,0,-3.2880000000000003,1,0.0407,0.0343,5.3200000000000006e-05,0.252,0.535,119.913,194173,19
71,6915,0.34600000000000003,0.552,0,-6.864,0,0.0282,0.41700000000000004,0.0,0.114,0.0789,75.881,286480,11
72,12302,0.595,0.623,10,-5.975,1,0.0314,0.0496,0.0,0.109,0.645,149.974,227747,4
73,7043,0.596,0.503,4,-7.606,1,0.0272,0.13,0.0,0.0754,0.262,134.032,351613,10
