,match,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,weeks
0,1.0,Can't Feel My Face,Can't Feel My Face,The Weeknd,['The Weeknd'],22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4,9
1,0.7075471698113207,Cheerleader,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,['OMI'],023OVLNzXhX0j7CxswUt6D,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,4,16
2,1.0,Drag Me Down,Drag Me Down,One Direction,['One Direction'],2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4,1
3,0.7424242424242424,Watch Me,Watch Me (Whip / Nae Nae),Silento,['Silentó'],5RIVoVdkDLEygELLCniZFr,0.821,0.759,8,-8.541,1,0.121,0.247,0.0,0.321,0.962,140.01,185143,4,24
4,0.7391304347826086,Lean On,Lean On,Major Lazer & DJ Snake Featuring MO,"['Major Lazer', 'MØ', 'DJ Snake']",1Lim1Py7xBgbAkAys3AGAG,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4,18
5,0.7448979591836735,Bad Blood,Bad Blood,Taylor Swift Featuring Kendrick Lamar,['Taylor Swift'],273dCMFseLcVsoSWx59IoE,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933,4,15
6,1.0,Fight Song,Fight Song,Rachel Platten,['Rachel Platten'],37f4ITSlgPX81ad2EvmVQr,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,204013,4,17
7,0.5210401891252955,See You Again,See You Again (feat. Charlie Puth),Wiz Khalifa Featuring Charlie Puth,"['Wiz Khalifa', 'Charlie Puth']",2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526,4,22
8,1.0,Trap Queen,Trap Queen,Fetty Wap,['Fetty Wap'],2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093,4,29
9,0.49547511312217196,My Way,My Way (feat. Monty),Fetty Wap Featuring Monty,"['Fetty Wap', 'Monty']",1WoOzgvz6CgH4pX6a1RKGp,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,213053,4,5
10,1.0,The Hills,The Hills,The Weeknd,['The Weeknd'],7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,11
11,0.44045911047345765,Where Are U Now,Where Are Ü Now (with Justin Bieber),Skrillex & Diplo With Justin Bieber,"['Jack Ü', 'Skrillex', 'Diplo', 'Justin Bieber']",66hayvUbTotekKU3H4ta1f,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,250286,4,23
12,0.7666666666666666,Good For You,Good For You,Selena Gomez Featuring A$AP Rocky,"['Selena Gomez', 'A$AP Rocky']",578Eooad7oUyn4stovZiPg,0.607,0.673,5,-6.484,0,0.0611,0.181,0.0,0.069,0.215,88.952,221280,4,7
13,1.0,Shut Up And Dance,Shut Up and Dance,WALK THE MOON,['WALK THE MOON'],4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4,39
14,0.5454545454545454,Worth It,Worth It (feat. Kid Ink),Fifth Harmony Featuring Kid Ink,"['Fifth Harmony', 'Kid Ink']",41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,224573,4,25
15,0.5415282392026578,Uptown Funk!,Uptown Funk (feat. Bruno Mars),Mark Ronson Featuring Bruno Mars,"['Mark Ronson', 'Bruno Mars']",32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,39
16,0.36184210526315785,679,679 (feat. Remy Boyz),Fetty Wap Featuring Remy Boyz,"['Fetty Wap', 'Remy Boyz']",5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,196693,4,6
17,1.0,"Honey, I'm Good.","Honey, I'm Good.",Andy Grammer,['Andy Grammer'],4MflGTO2ZTcSQ12bWcyRgI,0.752,0.775,9,-7.289,1,0.0546,0.0324,0.0,0.351,0.595,122.014,199263,4,24
18,1.0,Photograph,Photograph,Ed Sheeran,['Ed Sheeran'],1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,13
19,1.0,Cool For The Summer,Cool for the Summer,Demi Lovato,['Demi Lovato'],3uwnnTQcHM1rDqSfA4gQNz,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4,6
20,1.0,Back To Back,Back To Back,Drake,['Drake'],5lFDtgWsjRJu8fPOAyJIAK,0.893,0.48,1,-3.728,0,0.356,0.00855,0.0,0.116,0.382,86.976,170638,4,1
21,0.3095062638172439,Hey Mama,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack","['David Guetta', 'Afrojack', 'Bebe Rexha', 'Nicki Minaj']",5b2bu6yyATC1zMXDGScJ2d,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560,4,20
22,0.33153638814016173,Post To Be,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion Featuring Chris Brown & Jhene Aiko,"['Omarion', 'Chris Brown', 'Jhené Aiko']",0fgZUSa7D7aVvv3GfO0A1n,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,226581,4,31
23,0.4047742605085626,Classic Man,Classic Man (feat. Roman GianArthur),Jidenna Featuring Roman GianArthur,"['Jidenna', 'Roman GianArthur']",3G7XYAwtxtoGK7fAm4IlD9,0.79,0.585,8,-6.058,1,0.0348,0.185,0.0,0.292,0.585,94.072,226000,4,14
24,1.0,Want To Want Me,Want to Want Me,Jason Derulo,['Jason Derulo'],7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4,22
25,1.0,Uma Thurman,Uma Thurman,Fall Out Boy,['Fall Out Boy'],5PUawWFG1oIS2NwEcyHaCr,0.623,0.962,4,-2.616,0,0.0895,0.103,0.000174,0.264,0.676,149.963,211573,4,18
26,1.0,Sugar,Sugar,Maroon 5,['Maroon 5'],2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4,30
27,0.4893424036281179,Marvin Gaye,Marvin Gaye (feat. Meghan Trainor),Charlie Puth Featuring Meghan Trainor,"['Charlie Puth', 'Meghan Trainor']",6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,190453,4,8
28,0.9736842105263157,Flex (Ooh Ooh Ooh),"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,['Rich Homie Quan'],4T0ScSPdQKmGvruK7pavNP,0.726,0.607,2,-7.68,1,0.0498,0.0389,0.0,0.19,0.891,81.997,176744,4,16
29,1.0,Thinking Out Loud,Thinking out Loud,Ed Sheeran,['Ed Sheeran'],34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4,44
30,1.0,House Party,House Party,Sam Hunt,['Sam Hunt'],1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,190240,4,10
31,1.0,Earned It (Fifty Shades Of Grey),Earned It (Fifty Shades Of Grey),The Weeknd,['The Weeknd'],4frLb7nWtsz2ymBE6k2GRP,0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,277680,3,33
32,1.0,B**** Better Have My Money,Bitch Better Have My Money,Rihanna,['Rihanna'],0NTMtAO2BV4tnGvw9EgBVq,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,4,20
33,1.0,She's Kinda Hot,She's Kinda Hot,5 Seconds Of Summer,['5 Seconds of Summer'],5fsQSDifYpjfbCqvZKPVBj,0.664,0.908,4,-4.806,1,0.0317,0.00182,0.0,0.109,0.889,118.031,216454,4,3
34,0.4563492063492064,Locked Away,Locked Away (feat. Adam Levine),R. City Featuring Adam Levine,"['R. City', 'Adam Levine']",7x5xYW5W42OGPAdHUyyguy,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,227480,5,3
35,0.7794117647058824,Love Me Like You Do,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,['Ellie Goulding'],3zHq9ouUJQFQRf3cm1rRLu,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4,31
36,1.0,Kick The Dust Up,Kick The Dust Up,Luke Bryan,['Luke Bryan'],5g15o2Sm55Hn9ShK5yEXgp,0.597,0.86,1,-2.315,1,0.0461,0.196,0.0,0.087,0.818,172.064,190587,4,12
37,0.6714285714285715,Rotten To The Core,Rotten to the Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson","['Dove Cameron', 'Cameron Boyce', 'Booboo Stewart', 'Sofia Carson']",2bNxCVI4Fub8BAwr0CQDyd,0.693,0.808,4,-6.231,0,0.093,0.0506,1.18e-06,0.578,0.547,127.945,162067,4,1
38,1.0,Talking Body,Talking Body,Tove Lo,['Tove Lo'],2tpfxAXiI52znho4WE3XFA,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,238427,4,28
39,0.7666666666666666,You Know You Like It,You Know You Like It,DJ Snake & AlunaGeorge,"['DJ Snake', 'AlunaGeorge']",57kR5SniQIbsbVoIjjOUDa,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,247267,4,20
40,1.0,Crash And Burn,Crash and Burn,Thomas Rhett,['Thomas Rhett'],2Fk0WwAqTBesLtKg97nojy,0.69,0.781,5,-5.101,0,0.0305,0.0873,2.28e-06,0.164,0.841,130.02,190733,4,13
