,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Low,Low,Flo Rida Featuring T-Pain,Flo Rida Featuring T-Pain,0CAfXk7DXMnon4gLudAp7J,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,4
1,No One,No One,Alicia Keys,['Alicia Keys'],6IwKcFdiRQZOWeYNhUiWIv,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85E-06,0.134,0.167,90.04,253813,4
2,Apologize,Apologize,Timbaland Featuring OneRepublic,Timbaland Featuring OneRepublic,6ucR4KfvsBFWCMVFDvyKKl,0.653,0.604,8,-6.017,1,0.0278,0.0292,0,0.097,0.101,118.016,184400,4
3,Kiss Kiss,Kiss Kiss,Chris Brown Featuring T-Pain,Chris Brown Featuring T-Pain,3wKKkGVn7cVSfgPeYYIiXG,0.729,0.658,10,-3.386,0,0.225,0.0506,0,0.0693,0.551,140.043,250667,3
4,Clumsy,Clumsy,Fergie,['Fergie'],50xeLNGKmskmYUSINhqvfa,0.731,0.563,2,-4.046,1,0.131,0.191,0.00042,0.296,0.452,184.009,240427,4
5,Paralyzer,Paralyzer,Finger Eleven,['Finger Eleven'],28IEbk5a7twNTbUEvWslUb,0.644,0.939,11,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,208107,4
6,Bubbly,Bubbly,Colbie Caillat,['Colbie Caillat'],0rFOs9paloAvEtzwDX1Kmc,0.697,0.474,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904,196280,4
7,Tattoo,Tattoo,Jordin Sparks,['Jordin Sparks'],3Ui2jdyxbZQrZohfM0NOgG,0.566,0.766,2,-5.036,1,0.0399,0.431,0,0.101,0.547,168.005,233467,4
8,Love Song,Love Song,Sara Bareilles,['Sara Bareilles'],4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827,4
9,Hate That I Love You,Hate That I Love You,Rihanna Featuring Ne-Yo,Rihanna Featuring Ne-Yo,7iu0WYLdo4yksKf3seaxzI,0.637,0.73,5,-5.38,0,0.0874,0.323,0,0.0981,0.732,93.867,218947,4
10,Crank That (Soulja Boy),Crank That (Soulja Boy),Soulja Boy Tell'em,['Soulja Boy'],66TRwr5uJwPt15mfFkzhbi,0.736,0.74,0,-2.18,1,0.0786,0.515,0,0.0468,0.803,140.141,221933,4
11,Sweetest Girl (Dollar Bill),Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia","Wyclef Jean Featuring Akon, Lil Wayne & Niia",4liGjmhCupa7RP9JaQELYx,0.733,0.744,1,-3.51,1,0.0553,0.0772,0,0.341,0.529,92.515,241133,4
12,Cyclone,Cyclone,Baby Bash Featuring T-Pain,Baby Bash Featuring T-Pain,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
13,Good Life,Good Life,Kanye West Featuring T-Pain,Kanye West Featuring T-Pain,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
14,Take You There,Take You There,Sean Kingston,['Sean Kingston'],6AdLyvisRKHLAwARaZMGr6,0.752,0.921,5,-4.321,0,0.0696,0.0182,0,0.256,0.634,115.033,236693,4
15,With You,With You,Chris Brown,['Chris Brown'],5Lgcn7u07bHuqbOtXkN62u,0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,252120,4
16,Hypnotized,Hypnotized,Plies Featuring Akon,Plies Featuring Akon,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
17,Love Like This,Love Like This,Natasha Bedingfield Featuring Sean Kingston,Natasha Bedingfield Featuring Sean Kingston,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
18,Like You'll Never See Me Again,Like You'll Never See Me Again,Alicia Keys,['Alicia Keys'],3JHDtmFdX9kdx9wz0md98U,0.562,0.657,7,-8.074,1,0.0315,0.173,0.000272,0.102,0.266,127.808,315360,4
19,Stronger,Stronger,Kanye West,['Kanye West'],4fzsfWzRhPawzqhX8Qt9F3,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867,4
20,Piece Of Me,Piece of Me,Britney Spears,['Britney Spears'],2EvwLVrnYbCZEG6Kx5DCRy,0.769,0.638,11,-5.054,1,0.216,0.0902,0,0.0857,0.782,115.007,212107,4
21,Just Fine,Just Fine,Mary J. Blige,['Mary J. Blige'],33vzOPcd9FRirYGlCu32x4,0.923,0.795,11,-3.61,0,0.117,0.0394,0.000565,0.101,0.588,123.021,242133,4
22,Teardrops On My Guitar,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,['Taylor Swift'],7zMcNqs55Mxer82bvZFkpg,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,203040,4
23,Can't Help But Wait,Can't Help But Wait,Trey Songz,Trey Songz,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
24,The Way I Are,The Way I Are - Timbaland vs. Nephew featuring Keri Hilson & D.O.E,Timbaland Featuring Keri Hilson,"['Timbaland', 'Keri Hilson', 'D.O.E.']",2NkDQv8y2DkoYQURdiZCOk,0.615,0.945,6,-3.752,1,0.0431,0.00671,0,0.764,0.904,119.962,230120,4
25,Our Song,Our Song,Taylor Swift,['Taylor Swift'],15DeqWWQB4dcEWzJg15VrN,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,201107,4
26,Sensual Seduction,Sensual Seduction,Snoop Dogg,['Snoop Dogg'],1wva1IlWLDNLgwipUWcmjy,0.756,0.829,11,-3.973,1,0.0682,0.003,3.46E-05,0.0578,0.504,120.163,245520,4
27,Shadow Of The Day,Shadow of the Day,Linkin Park,['Linkin Park'],0OYcEfskah1egYHjYRvbg1,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4
