,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Blank Space,Blank Space,Taylor Swift,['Taylor Swift'],1p80LdxRV74UKvL8gnD7ky,0.752,0.678,5,-5.421,1,0.0646,0.085,1.64E-06,0.13,0.583,96.009,231827,4
1,Take Me To Church,Take Me to Church,Hozier,['Hozier'],1CS7Sd1u5tWkstBhpssyjP,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241693,4
2,Uptown Funk!,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Mark Ronson Featuring Bruno Mars,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
3,Thinking Out Loud,Thinking out Loud,Ed Sheeran,['Ed Sheeran'],34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4
4,Lips Are Movin,Lips Are Movin,Meghan Trainor,['Meghan Trainor'],6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03E-06,0.111,0.95,139.091,182667,4
5,I'm Not The Only One,I’m Not the Only One - Acoustic Cover,Sam Smith,"['Sam Smith', 'Dale Burbeck']",5hO5U3Djps5hAUYHYlu56m,0.575,0.192,1,-17.514,1,0.0573,0.992,0.961,0.113,0.417,141.861,181826,4
6,Love Me Harder,Love Me Harder,Ariana Grande & The Weeknd,Ariana Grande & The Weeknd,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
7,Jealous,Jealous,Nick Jonas,['Nick Jonas'],2RqtfcLB7iOZj0zYB8Auhu,0.7,0.701,11,-3.834,0,0.161,0.013,0,0.461,0.38,93.012,223107,4
8,Animals,Animals,Maroon 5,['Maroon 5'],2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013,4
9,All About That Bass,All About That Bass,Meghan Trainor,['Meghan Trainor'],5jE48hhRu8E6zBDPRSkEq7,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87E-06,0.124,0.961,134.052,187920,4
10,Shake It Off,Shake It Off,Taylor Swift,['Taylor Swift'],5xTtaWoae3wi06K5WfVUUH,0.648,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.02,219200,4
11,I Don't F**k With You,I Don't F**k With You,Big Sean Featuring E-40,Big Sean Featuring E-40,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
12,The Heart Wants What It Wants,The Heart Wants What It Wants,Selena Gomez,['Selena Gomez'],6wJwkMo278iWVlWl1XQ4WA,0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066,227373,4
13,Wasted Love,Wasted Love,Matt McAndrew,['Matt McAndrew'],0tnGS4zZ9dvcHPLHidb9xr,0.615,0.235,0,-11.21,1,0.031,0.866,0,0.164,0.303,97.824,213609,3
14,Only,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown","Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
15,Habits (Stay High),Habits (Stay High),Tove Lo,['Tove Lo'],14OxJlLdcHNpgsm4DRwDOB,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69E-05,0.0829,0.347,110.02,209160,4
16,Tuesday,Tuesday,I LOVE MAKONNEN Featuring Drake,I LOVE MAKONNEN Featuring Drake,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
17,Waves,Waves - Robin Schulz Radio Edit,Mr. Probz,"['Mr. Probz', 'Robin Schulz']",1HFfMOxCAT4GAwaPfCdmUs,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.00143,0.0829,0.45,119.994,208133,4
18,Don't,Don't,Ed Sheeran,Ed Sheeran,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
19,Centuries,Centuries,Fall Out Boy,['Fall Out Boy'],04aAxqtGp5pv12UXAg4pkq,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,228360,4
20,The Hanging Tree,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,James Newton Howard Featuring Jennifer Lawrence,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
21,Bang Bang,Bang Bang - Imanos & Gramercy Remix,"Jessie J, Ariana Grande & Nicki Minaj","['Jessie J', 'Ariana Grande', 'Nicki Minaj', 'Imanos', 'Gramercy']",1z3Q0Vv26kdsSc8KshjNWX,0.691,0.867,8,-4.448,1,0.043,0.0367,0.00119,0.361,0.192,150.042,224680,4
22,No Type,No Type,Rae Sremmurd,['Rae Sremmurd'],4scpF6J5uMBvoh6sFB7EL1,0.891,0.486,6,-7.803,1,0.159,0.0158,3.78E-06,0.0925,0.239,125.01,200080,4
23,11-Jul,11-Jul,Beyonce,['Beyoncé'],02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.56,136.024,213507,4
24,Hot Boy,Hot Boy,Bobby Shmurda,['Bobby Shmurda'],0rFke7eNFHbGuGJUdRgjB2,0.859,0.5,9,-7.628,1,0.347,0.042,1.60E-05,0.0616,0.186,83.981,194561,4
25,Blame,Blame,Calvin Harris Featuring John Newman,Calvin Harris Featuring John Newman,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
26,Stay With Me,Stay With Me,Sam Smith,['Sam Smith'],5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39E-05,0.11,0.184,84.094,172724,4
27,CoCo,CoCo,O.T. Genasis,['O.T. Genasis'],2JI71GHwq2LN8mtq3iCLYo,0.886,0.628,8,-5.949,1,0.131,0.00215,1.15E-05,0.31,0.178,119.906,239574,4
28,Beg For It,Beg For It,Iggy Azalea Featuring M0,Iggy Azalea Featuring M0,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
29,Don't Tell 'Em,Don't Tell 'Em,Jeremih Featuring YG,Jeremih Featuring YG,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
30,I Don't Mind,I Don't Mind,Usher Featuring Juicy J,Usher Featuring Juicy J,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
31,Riptide,Riptide,Vance Joy,['Vance Joy'],3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4
32,Black Widow,Black Widow,Iggy Azalea Featuring Rita Ora,Iggy Azalea Featuring Rita Ora,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
33,My Baby's Got A Smile On Her Face,My Baby’s Got A Smile On Her Face,Craig Wayne Boyd,['Craig Wayne Boyd'],6CkqeHWNY9gEjqQqcEnFF0,0.421,0.808,5,-3.586,1,0.0385,0.0492,4.17E-05,0.254,0.714,165.945,197213,4
34,All I Want For Christmas Is You,All I Want for Christmas Is You,Mariah Carey,['Mariah Carey'],0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,241107,4
35,Heroes (We Could Be),Heroes (We Could Be),Alesso Featuring Tove Lo,Alesso Featuring Tove Lo,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
36,Trumpets,Trumpets,Jason Derulo,['Jason Derulo'],5KONnBIQ9LqCxyeSPin26k,0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,217419,4
37,Shotgun Rider,Shotgun Rider,Tim McGraw,['Tim McGraw'],3LbvNFkqDTrE1liGMmZBDL,0.468,0.904,7,-4.574,1,0.0494,0.126,3.89E-06,0.165,0.7,167.998,235387,4
38,Stolen Dance,Stolen Dance,Milky Chance,['Milky Chance'],6vECYJHxYmm3Ydt3fF01pE,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,4
39,Chandelier,Chandelier,Sia,['Sia'],2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,216120,5
40,Something In The Water,Something in the Water,Carrie Underwood,['Carrie Underwood'],10RQKVSr4rS0coExTmi4dF,0.451,0.893,7,-2.721,1,0.0627,0.0243,0,0.0813,0.0971,139.763,238173,4
41,Santa Tell Me,Santa Tell Me,Ariana Grande,['Ariana Grande'],0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,204093,4
42,Feeling Myself,Feeling Myself,Nicki Minaj Featuring Beyonce,Nicki Minaj Featuring Beyonce,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
43,Lifestyle,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,Rich Gang Featuring Young Thug & Rich Homie Quan,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
44,Rather Be,Rather Be,Clean Bandit Featuring Jess Glynne,Clean Bandit Featuring Jess Glynne,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
45,Try Me,Try Me,DeJ Loaf,['DeJ Loaf'],2CY92qejUrhyPUASawNVRr,0.56,0.81,0,-8.029,0,0.0872,0.0071,7.93E-06,0.241,0.247,170.044,217573,4
46,Ghost,Ghost,Ella Henderson,['Ella Henderson'],4z7gh3aIZV9arbL9jJSc5J,0.68,0.84,9,-3.823,1,0.0414,0.0457,8.66E-06,0.143,0.468,104.975,213213,4
47,Anaconda,Anaconda,Nicki Minaj,['Nicki Minaj'],794F99D5BQHS5ZGRXAs7I5,0.964,0.605,9,-6.223,1,0.179,0.0668,7.78E-06,0.214,0.646,129.994,260240,4
48,Rude,Rude,MAGIC!,['MAGIC!'],6RtPijgfPKROxEzTHNRiDp,0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,224840,4
49,Night Changes,Night Changes,One Direction,['One Direction'],5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600,4
50,Talladega,Talladega,Eric Church,['Eric Church'],1TKlBK9cSrM5u4CiL4SETS,0.586,0.677,1,-8.343,1,0.0294,0.043,0.0936,0.0884,0.562,144.001,262280,4
51,"Touchin, Lovin","Touchin, Lovin",Trey Songz Featuring Nicki Minaj,Trey Songz Featuring Nicki Minaj,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
52,Velvet,Velvet - The Voice Performance,Chris Jamison,['Chris Jamison'],5Zb55VDys0H4jS8Me9I5aG,0.831,0.488,1,-7.564,1,0.0894,0.086,0,0.192,0.663,99.053,235756,4
53,Hold You Down,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih","DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
54,L.A.LOVE (la la),L.A.LOVE (la la) [feat. YG],Fergie,"['Fergie', 'YG']",5h2nC1QYVpK0AJra70Ja3p,0.509,0.482,7,-6.965,1,0.176,0.0186,0,0.238,0.301,101.042,211512,4
55,About The Money,About The Money,T.I. Featuring Young Thug,T.I. Featuring Young Thug,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
56,Sun Daze,Sun Daze,Florida Georgia Line,['Florida Georgia Line'],0El2Zyt68nYySFDG87hZgM,0.476,0.952,4,-3.783,1,0.041,0.0981,2.91E-06,0.438,0.849,170.062,184707,4
57,"Mary, Did You Know?","Mary, Did You Know?",Pentatonix,['Pentatonix'],4z8sz6E4YyFuEkv5o7IJni,0.497,0.312,11,-9.088,0,0.0269,0.302,0,0.0968,0.177,105.036,203373,4
58,Perfect Storm,Perfect Storm,Brad Paisley,['Brad Paisley'],14UE0L5fL5TL0ohEiAv56X,0.53,0.753,0,-5.551,1,0.0346,0.365,4.19E-05,0.269,0.38,123.979,234840,4
59,I Bet My Life,I Bet My Life,Imagine Dragons,['Imagine Dragons'],15DrrIod12Tc2IoMaHiwlQ,0.553,0.657,1,-8.219,1,0.0405,0.335,0.000648,0.228,0.555,107.889,192707,4
60,I See You,I See You,Luke Bryan,['Luke Bryan'],3Z3D2hnbZnveVhTuOifJyt,0.657,0.821,6,-3.388,1,0.0352,0.0838,0,0.0457,0.714,130.002,185987,4
61,Bed Of Lies,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,Nicki Minaj Featuring Skylar Grey,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
62,Lost Without U,Lost Without U,Chris Jamison & Adam Levine,Chris Jamison & Adam Levine,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
