,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Firework,Firework,Katy Perry,['Katy Perry'],4r6eNCsrZnQWJzzvFh4nlg,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,227893,4
1,Grenade,Grenade,Bruno Mars,['Bruno Mars'],2tJulUYLDKOg9XrtVkMgcJ,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,223253,4
2,What's My Name?,What's My Name?,Rihanna Featuring Drake,Rihanna Featuring Drake,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
3,Raise Your Glass,Raise Your Glass,P!nk,['P!nk'],1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0838,0.0048,0,0.029,0.624,122.019,202960,4
4,We R Who We R,We R Who We R,Ke$ha,['Made famous by Ke$ha'],1p4mnh4jOsO14XtD5zAjaB,0.744,0.474,8,-12.81,1,0.112,0.214,0,0.231,0.745,119.999,199054,4
5,Just The Way You Are,Just the Way You Are,Bruno Mars,['Bruno Mars'],7BqBn9nzAq8spo5e7cZ0dJ,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,220733,4
6,Only Girl (In The World),Only Girl (In The World),Rihanna,['Rihanna'],2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71E-05,0.0586,0.638,125.911,235493,4
7,The Time (Dirty Bit),The Time (Dirty Bit) - Black Eyed Peas Tribute Mix,The Black Eyed Peas,['The Great Pop Crew'],3TyIWEX7dDQI5tsKLEJtKA,0.799,0.676,9,-12.642,1,0.0523,0.0339,0.00212,0.0892,0.679,128.009,294191,4
8,6 Foot 7 Foot,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,Lil Wayne Featuring Cory Gunz,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
9,Just A Dream,Just A Dream,Nelly,['Nelly'],3ZdJffjzJWFimSQyxgGIxN,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,237800,4
10,Bottoms Up,Bottoms Up,Trey Songz Featuring Nicki Minaj,Trey Songz Featuring Nicki Minaj,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
11,Black And Yellow,Black and Yellow,Wiz Khalifa,['Wiz Khalifa'],5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,217667,4
12,Tonight (I'm Lovin' You),Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,Enrique Iglesias Featuring Ludacris & DJ Frank E,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
13,Like A G6,Like A G6,Far*East Movement Featuring Cataracs & Dev,Far*East Movement Featuring Cataracs & Dev,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
14,DJ Got Us Fallin' In Love,DJ Got Us Fallin' In Love (feat. Pitbull),Usher Featuring Pitbull,"['Usher', 'Pitbull']",5qxULZVAM943gPjtMaH5NX,0.639,0.907,7,-4.749,0,0.189,0.0444,0,0.114,0.699,120.954,214280,4
15,Stereo Love,Stereo Love - Radio Edit,Edward Maya & Vika Jigulina,"['Edward Maya', 'Vika Jigulina']",5RfBhOGNbbXT5LiIvbHLhN,0.773,0.736,9,-5.589,1,0.0383,0.0335,0.0184,0.104,0.212,127.056,184000,4
16,Dynamite,Dynamite,Taio Cruz,['Taio Cruz'],2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,202613,4
17,No Hands,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,Waka Flocka Flame Featuring Roscoe Dash & Wale,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
18,Coming Home,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,Diddy - Dirty Money Featuring Skylar Grey,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
19,Yeah 3X,Yeah 3x,Chris Brown,['Chris Brown'],2QtxlzvSBONjs1bDC34ixs,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16E-06,0.0934,0.7,130,241667,4
20,Please Don't Go,Please Don't Go,Mike Posner,['Mike Posner'],6jg5SRvdGxvJ0DzNV0UqEK,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4
21,Teenage Dream,Teenage Dream,Katy Perry,['Katy Perry'],5jzKL4BDMClWqRguW5qZvh,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34E-06,0.134,0.591,120.011,227741,4
22,Animal,Animal,Neon Trees,['Neon Trees'],1fBl642IhJOE5U319Gy2Go,0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,212293,4
23,F**k You! (Forget You),F**k You! (Forget You),CeeLo Green,CeeLo Green,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
24,Secrets,Secrets,OneRepublic,['OneRepublic'],1NhPKVLsHhFUHIOZ32QnS2,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021,224693,4
25,Back To December,Back To December,Taylor Swift,['Taylor Swift'],3DrjZArsPsoqbLzUZZV1Id,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,293027,4
26,Hey Baby (Drop It To The Floor),Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,Pitbull Featuring T-Pain,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
27,Right Above It,Right Above It,Lil Wayne Featuring Drake,Lil Wayne Featuring Drake,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
28,Right Thru Me,Right Thru Me,Nicki Minaj,['Nicki Minaj'],4dPP7GEqsI5yRy8w8CqWVi,0.381,0.683,1,-4.724,1,0.162,0.0869,0.00164,0.168,0.168,162.246,235773,3
29,Aston Martin Music,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,Rick Ross Featuring Drake & Chrisette Michele,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
30,That's All She Wrote,That's All She Wrote,T.I. Featuring Eminem,T.I. Featuring Eminem,3ICD0niQsK2ngW9zDbYlkI,0.244,0.783,4,-2.183,1,0.0388,0.0109,0.0372,0.208,0.203,95.952,219307,4
