,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Blank Space,['Taylor Swift'],1p80LdxRV74UKvL8gnD7ky,0.752,0.678,5.0,-5.421,1.0,0.0646,0.085,1.64e-06,0.13,0.583,96.009,231827.0,4.0
1,Take Me to Church,['Hozier'],1CS7Sd1u5tWkstBhpssyjP,0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,241693.0,4.0
2,Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667.0,4.0
3,Thinking out Loud,['Ed Sheeran'],34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,281560.0,4.0
4,Lips Are Movin,['Meghan Trainor'],6gj08XDlv9Duc2fPOxUmVD,0.775,0.825,7.0,-5.402,1.0,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667.0,4.0
5,I'm Not The Only One,['Sam Smith'],7795WJLVKJoAyVoOtCWqXN,0.677,0.485,5.0,-5.795,1.0,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317.0,4.0
6,Love Me Harder,"['Ariana Grande', 'The Weeknd']",5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1.0,-4.389,0.0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133.0,4.0
7,Jealous,['Nick Jonas'],2RqtfcLB7iOZj0zYB8Auhu,0.7,0.701,11.0,-3.834,0.0,0.161,0.013,0.0,0.461,0.38,93.012,223107.0,4.0
8,Animals,['Maroon 5'],2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013.0,4.0
9,All About That Bass,['Meghan Trainor'],5jE48hhRu8E6zBDPRSkEq7,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920.0,4.0
10,Shake It Off,['Taylor Swift'],5xTtaWoae3wi06K5WfVUUH,0.648,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.02,219200.0,4.0
11,I Don't F**k With You,"['Big Sean', 'E-40']",7taXl2C2594pF4gjumrF4W,0.815,0.724,1.0,-5.658,1.0,0.0712,0.0385,0.0,0.334,0.366,97.957,284413.0,4.0
12,The Heart Wants What It Wants,['Selena Gomez'],6wJwkMo278iWVlWl1XQ4WA,0.616,0.789,7.0,-4.874,0.0,0.0377,0.053,0.0,0.142,0.621,83.066,227373.0,4.0
13,Wasted Love,['Matt McAndrew'],0tnGS4zZ9dvcHPLHidb9xr,0.615,0.235,0.0,-11.21,1.0,0.031,0.866,0.0,0.164,0.303,97.824,213609.0,3.0
14,Only,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']",4MRT0dDbhqFKl67WzhUbSw,0.573,0.495,8.0,-7.245,0.0,0.592,0.405,0.0,0.0969,0.255,179.196,312027.0,3.0
15,Habits (Stay High),['Tove Lo'],14OxJlLdcHNpgsm4DRwDOB,0.729,0.65,5.0,-3.539,1.0,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,209160.0,4.0
16,Tuesday (feat. Drake),"['ILOVEMAKONNEN', 'Drake']",2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0.0,-5.604,1.0,0.211,0.215,0.000118,0.105,0.472,140.163,321987.0,4.0
17,Waves - Robin Schulz Radio Edit,"['Mr. Probz', 'Robin Schulz']",1HFfMOxCAT4GAwaPfCdmUs,0.829,0.51,5.0,-9.334,0.0,0.0369,0.00821,0.00143,0.0829,0.45,119.994,208133.0,4.0
18,I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']",3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0,4.0
19,Centuries,['Fall Out Boy'],04aAxqtGp5pv12UXAg4pkq,0.393,0.858,4.0,-2.868,0.0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360.0,4.0
20,The Hanging Tree,"['James Newton Howard', 'Jennifer Lawrence']",416MsJxvxSKY96DCmbJIRs,0.213,0.0743,9.0,-18.071,0.0,0.0408,0.344,3.45e-05,0.212,0.145,53.863,218507.0,4.0
21,Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0.0,-3.417,0.0,0.091,0.26,0.0,0.38,0.751,150.028,199387.0,4.0
22,No Type,['Rae Sremmurd'],4scpF6J5uMBvoh6sFB7EL1,0.891,0.486,6.0,-7.803,1.0,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,200080.0,4.0
23,7/11,['Beyoncé'],02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9.0,-5.137,0.0,0.126,0.0128,0.0,0.126,0.56,136.024,213507.0,4.0
24,Hot Boy,['Bobby Shmurda'],0rFke7eNFHbGuGJUdRgjB2,0.859,0.5,9.0,-7.628,1.0,0.347,0.042,1.6e-05,0.0616,0.186,83.981,194561.0,4.0
25,Blame (feat. John Newman),"['Calvin Harris', 'John Newman']",07nH4ifBxUB4lZcsf44Brn,0.414,0.857,0.0,-4.078,0.0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960.0,4.0
26,Stay With Me,['Sam Smith'],5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0.0,-6.444,1.0,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724.0,4.0
27,CoCo,['O.T. Genasis'],2JI71GHwq2LN8mtq3iCLYo,0.886,0.628,8.0,-5.949,1.0,0.131,0.00215,1.15e-05,0.31,0.178,119.906,239574.0,4.0
28,Beg For It,"['Iggy Azalea', 'MØ']",7MQREx2p9bXdqm8WTGVkGI,0.807,0.747,10.0,-4.31,0.0,0.0471,0.229,0.000111,0.0884,0.4,93.009,178107.0,4.0
29,Don't Tell 'Em,"['Jeremih', 'YG']",0Dc7J9VPV4eOInoxUiZrsL,0.856,0.527,2.0,-5.225,1.0,0.0997,0.392,0.0,0.11,0.386,98.052,266840.0,4.0
30,I Don't Mind (feat. Juicy J),"['Usher', 'Juicy J']",7aXuop4Qambx5Oi3ynsKQr,0.87,0.464,4.0,-8.337,1.0,0.178,0.205,0.0,0.0902,0.457,112.974,251989.0,4.0
31,Riptide,['Vance Joy'],3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,4.0
32,Black Widow,"['Iggy Azalea', 'Rita Ora']",7pNC5ZIKtwUK0ReSpM3P9f,0.743,0.72,11.0,-3.753,1.0,0.124,0.192,0.000386,0.109,0.519,163.99,209423.0,4.0
33,My Baby’s Got A Smile On Her Face,['Craig Wayne Boyd'],6CkqeHWNY9gEjqQqcEnFF0,0.421,0.808,5.0,-3.586,1.0,0.0385,0.0492,4.17e-05,0.254,0.714,165.945,197213.0,4.0
34,All I Want for Christmas Is You,['Mariah Carey'],0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,241107.0,4.0
35,Heroes (we could be),"['Alesso', 'Tove Lo']",3zU9rdflI65tK4dkkNSp77,0.503,0.748,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.343,0.356,125.896,210013.0,4.0
36,Trumpets,['Jason Derulo'],5KONnBIQ9LqCxyeSPin26k,0.635,0.691,0.0,-4.862,1.0,0.258,0.555,0.0,0.097,0.638,82.142,217419.0,4.0
37,Shotgun Rider,['Tim McGraw'],3LbvNFkqDTrE1liGMmZBDL,0.468,0.904,7.0,-4.574,1.0,0.0494,0.126,3.89e-06,0.165,0.7,167.998,235387.0,4.0
38,Stolen Dance,['Milky Chance'],6vECYJHxYmm3Ydt3fF01pE,0.885,0.581,11.0,-8.813,1.0,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684.0,4.0
39,Chandelier,['Sia'],2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1.0,-2.88,1.0,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120.0,5.0
40,Something in the Water,['Carrie Underwood'],10RQKVSr4rS0coExTmi4dF,0.451,0.893,7.0,-2.721,1.0,0.0627,0.0243,0.0,0.0813,0.0971,139.763,238173.0,4.0
41,Santa Tell Me,['Ariana Grande'],0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,7.0,-7.364,1.0,0.116,0.0489,0.0,0.294,0.591,191.9,204093.0,4.0
