,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Physical - Remastered 2021,['Olivia Newton-John'],6egmD7auKp3N7gy72uBnFQ,0.84,0.728,4.0,-8.473,0.0,0.0436,0.127,0.00114,0.114,0.74,124.066,225993.0,4.0
1,Waiting for a Girl like You,['Foreigner'],2OgVsp77En2nju8pnCieVU,0.33,0.469,10.0,-9.286,0.0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067.0,4.0
2,Let's Groove,"['Earth, Wind & Fire']",3koCCeSaVUyrRo3N2gHrd8,0.869,0.648,11.0,-8.698,0.0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320.0,4.0
3,I Can't Go for That (No Can Do),['Daryl Hall & John Oates'],41dDygR3r7e926oGUXfrLt,0.889,0.441,0.0,-9.506,0.0,0.0379,0.0405,0.000788,0.038,0.963,110.565,307307.0,4.0
4,Young Turks - 2008 Remaster,['Rod Stewart'],5n1amEDwVKucAGMqePk9yN,0.641,0.821,5.0,-8.783,0.0,0.0325,0.274,0.487,0.138,0.705,161.143,302413.0,4.0
5,Harden My Heart,['Quarterflash'],3CSLUIrI2KPMulHR5bh17O,0.531,0.43,11.0,-14.523,0.0,0.0578,0.0568,1.22e-06,0.0964,0.453,124.284,232627.0,4.0
6,Why Do Fools Fall In Love,['Diana Ross'],618K2eozL0nM4nf0d8Q5r6,0.652,0.8,4.0,-5.463,1.0,0.0738,0.52,7.56e-05,0.566,0.961,160.105,173413.0,4.0
7,Leather and Lace (with Don Henley),['Stevie Nicks'],2npStoMbQxG1LcIeF4PZrj,0.553,0.398,3.0,-11.67,1.0,0.0303,0.664,0.0,0.114,0.392,76.074,229227.0,4.0
8,Don't Stop Believin',['Journey'],4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4.0,-9.072,1.0,0.0363,0.127,0.0,0.447,0.514,118.852,250987.0,4.0
9,Trouble,['Lindsey Buckingham'],04ijIUVdT4Qy1SBWFUPROY,0.695,0.503,1.0,-12.91,1.0,0.0361,0.111,0.0134,0.0996,0.969,124.113,236533.0,4.0
10,Centerfold,['The J. Geils Band'],1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0.0,-12.244,1.0,0.0396,0.249,0.0,0.403,0.888,114.37,216533.0,4.0
11,Yesterday's Songs,['Neil Diamond'],11pJkEXM1lnmC9d3KLgH6H,0.609,0.347,5.0,-15.642,1.0,0.0277,0.242,1.59e-06,0.207,0.372,96.335,169000.0,4.0
12,Comin' In and out of Your Life,['Barbra Streisand'],1ewTd6py4ifeRxoFH0HXlu,0.305,0.295,1.0,-14.085,1.0,0.0392,0.804,1.67e-05,0.073,0.185,139.8,248667.0,4.0
13,Turn Your Love Around,['George Benson'],6a899bXlCuViXW2Qs8Rdqo,0.627,0.385,9.0,-13.655,0.0,0.0537,0.334,0.0,0.182,0.766,205.726,230107.0,4.0
14,The Sweetest Thing (I've Ever Known),['Juice Newton'],4bRQodyVPba7f8mo3zyemR,0.253,0.323,7.0,-10.124,1.0,0.0268,0.55,1.22e-06,0.253,0.216,152.949,247227.0,4.0
15,Hooked On Classics (Parts 1 & 2),['Royal Philharmonic Orchestra conducted by Louis Clark'],3kTcvDQLW3zVbLyWyid6ua,0.738,0.455,2.0,-15.644,1.0,0.0514,0.0522,0.773,0.0727,0.607,130.399,306133.0,4.0
16,Take My Heart (You Can Have It If You Want It),['Kool & The Gang'],7jHOi7ls5RjJaOtmMSxY8w,0.927,0.379,11.0,-15.887,1.0,0.136,0.216,8.3e-06,0.0432,0.947,111.733,246427.0,4.0
17,Cool Night,['Paul Davis'],29KyVqHekckVGfxHn8QS7m,0.576,0.528,2.0,-5.236,0.0,0.0258,0.67,0.0,0.347,0.663,107.21,218827.0,4.0
18,Oh No,['Commodores'],4t374JpKYq4OGTUoJ4PVwm,0.584,0.186,8.0,-17.158,1.0,0.0258,0.772,6.21e-06,0.273,0.336,85.731,184307.0,4.0
19,Every Little Thing She Does Is Magic,['The Police'],44aTAUBF0g6sMkMNE8I5kd,0.558,0.768,2.0,-9.997,1.0,0.0343,0.121,0.0626,0.124,0.429,81.909,260573.0,4.0
20,Someone Could Lose A Heart Tonight,['Eddie Rabbitt'],5UzPa5Po23ffDj1gXHCAq2,0.808,0.511,10.0,-9.474,0.0,0.0725,0.328,0.00102,0.0538,0.588,128.66,206827.0,4.0
21,Here I Am (Just When I Thought I Was Over You),['Air Supply'],38mMrNPAJKXMBK2l9actEA,0.344,0.466,0.0,-8.453,1.0,0.0255,0.534,1.61e-05,0.569,0.132,137.974,230400.0,4.0
22,I Wouldn't Have Missed It For The World,['Ronnie Milsap'],7sNKhnl4MZnHdMzvmC4jG5,0.663,0.511,7.0,-10.843,1.0,0.0259,0.0637,1.09e-06,0.101,0.579,114.003,217827.0,4.0
23,Shake It Up,['The Cars'],5OWokvF4QOqMDQ8ByQsm6V,0.692,0.74,0.0,-7.466,1.0,0.0329,0.0723,8.83e-05,0.136,0.864,147.274,215440.0,4.0
24,Steal The Night,Stevie Woods,,,,,,,,,,,,,,
25,Waiting On A Friend - Remastered 2021,['The Rolling Stones'],5rF5SyxEdhjMi0ijb1Luqi,0.57,0.86,0.0,-2.903,1.0,0.0315,0.0921,0.111,0.632,0.885,116.607,275760.0,4.0
26,Our Lips Are Sealed - Single Version,"[""The Go-Go's""]",1GVnAD8Iz45rux6EC657Yv,0.608,0.864,8.0,-7.101,1.0,0.0522,0.0444,2.95e-06,0.0341,0.947,131.208,167960.0,4.0
27,She's Got a Way,['Billy Joel'],3Ie2eLOIj2IhKnzPwXrLbJ,0.495,0.142,11.0,-16.186,0.0,0.0436,0.97,1.93e-06,0.113,0.196,75.859,169227.0,4.0
28,"My Girl (Gone, Gone, Gone)",['Chilliwack'],3F3qMsKHOAmHDezIK840bp,0.439,0.821,2.0,-8.536,1.0,0.0973,0.382,4.85e-06,0.609,0.473,111.239,254507.0,4.0
