,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Faith - Remastered,['George Michael'],0HEmnAUT8PHznIAAmVXqFJ,0.887,0.48,11.0,-11.994,1.0,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200.0,4.0
1,So Emotional,['Whitney Houston'],4l2Edgdj4vla02GCh7YyAv,0.698,0.791,11.0,-10.012,0.0,0.0495,0.271,4.74e-05,0.199,0.809,119.081,276667.0,4.0
2,Is This Love - 2018 Remaster,['Whitesnake'],0IhUdJRoolbYeEMPL59XPm,0.263,0.759,0.0,-7.288,1.0,0.0431,0.0555,0.0,0.231,0.429,179.904,284496.0,4.0
3,Got My Mind Set On You - Remastered 2004,['George Harrison'],3OeUlriM0EZHdWleJtjoVr,0.767,0.854,4.0,-6.947,1.0,0.0426,0.465,2.03e-06,0.485,0.963,149.206,234653.0,4.0
4,Shake Your Love,['Debbie Gibson'],6gM3uxq9TPkms83bTSlK10,0.784,0.746,11.0,-10.681,0.0,0.0477,0.405,0.0,0.0568,0.83,120.55,222933.0,4.0
5,Don't You Want Me,"['Jody Watley', 'Michael Hutchinson', 'Francois Kevorkian']",7r4ZN8F22eBQeN0aMqwzgN,0.882,0.587,9.0,-12.613,0.0,0.0396,0.0673,1.09e-05,0.0527,0.866,112.032,253600.0,4.0
6,The Way You Make Me Feel - 2012 Remaster,['Michael Jackson'],0sKlV58cODrjxGFOyf9IXY,0.877,0.854,1.0,-4.523,1.0,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120.0,4.0
7,Catch Me (I'm Falling),['Pretty Poison'],2MQ23MqDI0N9IVy8iaZddc,0.757,0.727,9.0,-11.816,1.0,0.0388,0.00412,0.0628,0.098,0.886,118.609,295227.0,4.0
8,Cherry Bomb,['John Mellencamp'],43oPpqzWPSZmeiwYicmzjG,0.744,0.945,7.0,-3.266,1.0,0.0286,0.0509,1.41e-06,0.0435,0.961,113.882,287107.0,4.0
9,Need You Tonight,['INXS'],5eU8qMd0TpaLqTGDZJaLDs,0.801,0.723,10.0,-4.985,0.0,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518.0,4.0
10,Valerie,['Steve Winwood'],3aAuIvgJGdp4wWd60riWfB,0.717,0.527,9.0,-10.779,1.0,0.0292,0.567,0.00668,0.0785,0.731,116.288,246667.0,4.0
11,Tell It to My Heart,['Taylor Dayne'],3YVPpVJvJG2EauXurPA90F,0.638,0.988,1.0,-5.042,1.0,0.0921,0.0302,1.16e-05,0.371,0.723,117.955,220880.0,4.0
12,Candle In The Wind - Remastered 2014,['Elton John'],1L9fzw2pXprOqtemTwtxXF,0.602,0.536,4.0,-9.74,1.0,0.0288,0.183,1.9e-05,0.0802,0.506,124.558,228933.0,4.0
13,Dude (Looks Like A Lady),['Aerosmith'],6gQUbFwwdYXlKdmqRoWKJe,0.54,0.982,4.0,-2.962,0.0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,265773.0,4.0
14,Hazy Shade of Winter,['The Bangles'],0P2vAvvWni2tNXOdbH3JFk,0.481,0.866,5.0,-7.143,0.0,0.0446,0.00892,0.0,0.097,0.426,150.427,167160.0,4.0
15,Could've Been,"['Tiffany', 'George Tobin', 'Bill Smith']",1xvGuRbLxTkpb5UdUG7HME,0.474,0.238,1.0,-15.595,1.0,0.0271,0.554,3.95e-06,0.107,0.137,99.005,212693.0,3.0
16,Heaven Is A Place On Earth,['Belinda Carlisle'],58mFu3oIpBa0HLNeJIxsw3,0.64,0.81,4.0,-10.19,1.0,0.033,0.031,2.22e-06,0.0492,0.804,122.868,247293.0,4.0
17,There's The Girl,['Heart'],5qMNvVFTJoTLkaXbudbVNF,0.586,0.814,11.0,-12.941,0.0,0.0314,0.271,0.0,0.338,0.71,130.392,230067.0,4.0
18,Animal,['Def Leppard'],4qjscZh4jfhkpcQG4ZQfi2,0.583,0.921,11.0,-5.215,1.0,0.0468,0.00153,0.0178,0.188,0.613,119.526,244560.0,4.0
19,Seasons Change,['Exposé'],4b2qn7YRQkVAsbC8pWa7yn,0.571,0.494,9.0,-13.169,0.0,0.0285,0.252,0.00078,0.318,0.601,174.186,292533.0,4.0
20,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack","['Bill Medley', 'Jennifer Warnes']",4BFMQ15vXr626UOoZL8bUI,0.7,0.781,6.0,-8.255,0.0,0.0507,0.0874,0.00342,0.059,0.385,108.695,289067.0,4.0
21,Crazy,['ICEHOUSE'],4tmXsNoNOk37DPBhVk5wK1,0.516,0.949,5.0,-3.512,1.0,0.125,0.0162,0.0045,0.319,0.367,115.593,203920.0,4.0
