,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Hey Ya!,['Outkast'],2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213.0,4.0
1,The Way You Move (feat. Sleepy Brown),"['Outkast', 'Sleepy Brown']",5z7mYFfhw6N6f23VwrokJD,0.871,0.597,5.0,-4.932,0.0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000.0,4.0
2,Milkshake - Radio Mix,['Kelis'],2s0ouHqJebHfiQ6C1GUFJd,0.891,0.77,1.0,-6.124,1.0,0.0439,0.00862,0.0315,0.155,0.819,112.997,182627.0,4.0
3,You Don't Know My Name,['Alicia Keys'],6LGwYMXXgURfaequXipzHx,0.264,0.663,9.0,-8.264,1.0,0.187,0.59,0.00443,0.342,0.249,167.078,366733.0,4.0
4,Stand Up,"['Ludacris', 'Shawnna']",2CtCwQhY0ZLvr8L2l8Bo6e,0.751,0.84,6.0,-4.855,1.0,0.349,0.367,0.0,0.0916,0.801,99.057,213760.0,4.0
5,Walked Outta Heaven,['Jagged Edge'],06ZDLodo1UDVavc3MXREZ3,0.67,0.616,10.0,-6.123,1.0,0.225,0.573,0.0,0.0535,0.523,120.129,270880.0,4.0
6,Suga Suga,"['Baby Bash', 'Frankie J']",6Nq5lE0CeOAAAqN4qhkbZU,0.662,0.748,5.0,-3.041,0.0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027.0,4.0
7,Here Without You,['3 Doors Down'],3NLrRZoMF0Lx6zTlYqeIo4,0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,238733.0,4.0
8,Slow Jamz,"['Twista', 'Kanye West', 'Jamie Foxx']",3A4cpTBPaIQdtPFb5JxtaX,0.559,0.733,2.0,-5.659,0.0,0.171,0.314,0.0,0.284,0.611,145.115,316053.0,4.0
9,"Me, Myself and I",['Beyoncé'],6XsT5UGfpaFeHQf5LRIy4W,0.75,0.458,1.0,-9.092,1.0,0.0803,0.226,3.25e-05,0.137,0.536,83.61,301133.0,4.0
10,It's My Life,['No Doubt'],2fOxxLz9JVe53itq6pfBak,0.606,0.75,8.0,-4.535,0.0,0.0306,0.00264,0.000788,0.321,0.771,126.316,225867.0,4.0
11,Someday,['Nickelback'],4PkJ7c9y1CwpuVOiJODnCZ,0.455,0.858,11.0,-5.659,0.0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467.0,4.0
12,Baby Boy (feat. Sean Paul),"['Beyoncé', 'Sean Paul']",4WY3HyGXsWqjFRCVD6gnTe,0.655,0.488,1.0,-9.17,1.0,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827.0,4.0
13,Holidae In,"['Chingy', 'Ludacris', 'Snoop Dogg']",0FmCLEHfINGqwlyzvklNqy,0.81,0.791,7.0,-5.909,1.0,0.181,0.0893,0.0,0.0838,0.948,153.067,314400.0,4.0
14,Damn! (feat. Lil' Jon) - Club Mix,"['Youngbloodz', 'Lil Jon']",5TpaWJKnuyA4MjzAbFXSTQ,0.772,0.724,6.0,-5.799,0.0,0.307,0.0149,0.0,0.355,0.518,84.038,298600.0,4.0
15,Step In the Name of Love - Remix,['R. Kelly'],7lrAsaTw9CTh5uSr0fvHOd,0.775,0.53,1.0,-6.564,0.0,0.119,0.2,0.0,0.231,0.775,94.985,432147.0,4.0
16,Change Clothes,['JAY-Z'],1xE7osYAtzz1PvLoVdOp5E,0.895,0.628,10.0,-3.79,1.0,0.0473,0.0412,0.0,0.059,0.34,104.009,258427.0,4.0
17,Get Low,"['Lil Jon & The East Side Boyz', 'Ying Yang Twins']",0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1.0,-7.47,1.0,0.067,0.0301,0.0,0.121,0.136,101.019,334067.0,4.0
18,Read Your Mind,['Avant'],6cR1U61DMpYbS2TtNTlSvo,0.755,0.381,8.0,-6.696,0.0,0.0711,0.291,5.13e-06,0.0974,0.695,73.108,263507.0,4.0
19,Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,,,,,,,,,,,,,,
20,Why Don't You & I (feat. Chad Kroeger),"['Santana', 'Chad Kroeger']",43LdgobPlcCc5g9Kmactvy,0.495,0.894,10.0,-4.89,1.0,0.102,0.136,0.0,0.106,0.777,168.062,274360.0,4.0
21,Headstrong,['Trapt'],1AEYT6VxrxXPMoQUxsY0E4,0.492,0.896,4.0,-5.819,0.0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,285570.0,4.0
22,White Flag,['Dido'],3adnLFXKO5rC1lhUNSeg3N,0.509,0.538,5.0,-6.835,1.0,0.0379,0.306,5.03e-06,0.091,0.284,170.111,240600.0,4.0
23,Numb,['Linkin Park'],2nLtzopw4rPReszdYBJU6h,0.496,0.863,9.0,-4.153,1.0,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,4.0
24,Stunt 101,['G-Unit'],6QdVBqkKNUqCqercvUHMkP,0.675,0.779,6.0,-1.439,0.0,0.402,0.161,0.0,0.0656,0.553,95.739,232227.0,4.0
